bin_lo	bin_hi	n	view_unit	n_total	unit	denominator
-300.0	-295.0	45	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-295.0	-290.0	22	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-290.0	-285.0	33	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-285.0	-280.0	133	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-280.0	-275.0	58	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-275.0	-270.0	42	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-270.0	-265.0	87	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-265.0	-260.0	334	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-260.0	-255.0	92	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-255.0	-250.0	70	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-250.0	-245.0	41	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-245.0	-240.0	47	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-240.0	-235.0	44	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-235.0	-230.0	74	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-230.0	-225.0	146	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-225.0	-220.0	211	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-220.0	-215.0	84	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-215.0	-210.0	44	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-210.0	-205.0	41	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-205.0	-200.0	106	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-200.0	-195.0	307	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-195.0	-190.0	134	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-190.0	-185.0	42	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-185.0	-180.0	132	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-180.0	-175.0	88	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-175.0	-170.0	62	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-170.0	-165.0	144	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-165.0	-160.0	180	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-160.0	-155.0	184	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-155.0	-150.0	384	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-150.0	-145.0	181	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-145.0	-140.0	595	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-140.0	-135.0	393	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-135.0	-130.0	434	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-130.0	-125.0	652	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-125.0	-120.0	469	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-120.0	-115.0	839	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-115.0	-110.0	421	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-110.0	-105.0	3157	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-105.0	-100.0	410	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-100.0	-95.0	264	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-95.0	-90.0	265	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-90.0	-85.0	1483	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-85.0	-80.0	360	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-80.0	-75.0	541	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-75.0	-70.0	1320	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-70.0	-65.0	4288	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-65.0	-60.0	1057	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-60.0	-55.0	1309	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-55.0	-50.0	10997	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-50.0	-45.0	6803	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-45.0	-40.0	4314	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
