family_label_set	n_loci	n_with_call	pct_zero	unit	denominator
RVT-GII	1525893	118	99.9923	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
Retron	632688	332769	47.4039	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-DGRs	173191	35	99.9798	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG11	73555	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG5	51344	2	99.9961	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-AbiP2	44697	8	99.9821	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG2	42793	11	99.9743	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG3	38549	2	99.9948	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG17	38354	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-G2L	38031	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG8	37297	3	99.992	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG4	31720	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG7	17503	1	99.9943	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG15	15339	2	99.987	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-AbiK	9370	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
MULTI	8542	6	99.9298	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG1	7393	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-CRISPR	7355	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-CRISPR-like	5715	2	99.965	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG12	5692	3	99.9473	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG27	5523	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG26	5374	7	99.8697	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG28	4144	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-G2L4	2760	2	99.9275	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG24	2670	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG16	2361	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG9	2180	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG14	2169	7	99.6773	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG18	2031	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG10	1880	9	99.5213	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG19	1651	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG13	1631	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG28b	1603	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG23	1288	3	99.7671	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-G2Lc	1263	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG6	882	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG22	871	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-G2Lb	641	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG20	556	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG25	456	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-UG21	315	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
RVT-AbiA	42	0	100.0	loci	loci carrying that family label set; a call is a CANONICAL placement. Outside Retron this measures detector scope, never biological absence
