chain	family_METADATA	is_retron_family	n_modelled	region_Y_start	region_Y_length	region_Y_frac_of_chain	chain_rna_contact_residues	region_Y_rna_contact_residues	frac_rna_contacts_in_Y	rna_ratio_observed_over_expected	chain_dna_contact_residues	region_Y_dna_contact_residues	frac_dna_contacts_in_Y	dna_ratio_observed_over_expected	region_Y_3A_unit	unit	note
26CZ_A	RVT-UG8	NO	640	321	344	0.5375	0	0			38	19	0.5000	0.9302	3	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
6ME0_C	RVT-GII maturase	NO	414	279	170	0.4106	65	23	0.3538	0.8617	20	20	1.0000	2.4353	3	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
6MEC_C	RVT-GII maturase	NO	414	279	170	0.4106	76	33	0.4342	1.0574	23	23	1.0000	2.4353	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
7V9U_A	RVT-Retrons (Ec86)	YES	309	243	69	0.2233	47	19	0.4043	1.8104	54	6	0.1111	0.4976	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
7V9X_A	RVT-Retrons (Ec86)	YES	314	243	74	0.2357	48	21	0.4375	1.8564	52	6	0.1154	0.4896	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
7XJG_A	RVT-Retrons (Ec86)	YES	314	243	74	0.2357	51	22	0.4314	1.8304	53	6	0.1132	0.4804	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
8FLI_B	RVT-GII maturase	NO	458	279	201	0.4389	70	39	0.5571	1.2695	0	0			3	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
8QBK_A	RVT-Retrons (Ec86)	YES	309	243	69	0.2233	46	12	0.2609	1.1682	60	7	0.1167	0.5225	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
8QBL_A	RVT-Retrons (Ec86)	YES	309	243	69	0.2233	43	12	0.2791	1.2497	61	8	0.1311	0.5873	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
8QBM_A	RVT-Retrons (Ec86)	YES	309	243	69	0.2233	47	14	0.2979	1.3340	62	8	0.1290	0.5778	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9E8Z_H	RVT-Retrons (Ec83)	YES	306	234	76	0.2484	60	24	0.4000	1.6105	32	6	0.1875	0.7549	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9I2F_A	RVT-Retrons (Ec67)	YES	580	257	327	0.5638	87	29	0.3333	0.5912	52	21	0.4038	0.7163	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9I2G_B	RVT-Retrons (Ec67)	YES	578	257	325	0.5623	95	36	0.3789	0.6739	54	20	0.3704	0.6587	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9L7P_E	RVT-Retrons (St85)	YES	309	236	74	0.2395	44	17	0.3864	1.6133	23	4	0.1739	0.7262	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9N69_E	RVT-Retrons	YES	308	234	76	0.2468	47	19	0.4043	1.6383	26	5	0.1923	0.7794	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9NNB_B	RVT-Retrons (Ec78)	YES	311	236	76	0.2444	58	23	0.3966	1.6227	29	7	0.2414	0.9877	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9S1F_B	RVT-Retrons (Ec67)	YES	570	257	322	0.5649	90	36	0.4000	0.7081	46	19	0.4130	0.7312	2	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9VHE_A	RVT-Retrons (Ec78)	YES	273	236	72	0.2637	57	20	0.3509	1.3304	26	8	0.3077	1.1667	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
9VHL_A	RVT-Retrons (Ec78)	YES	273	236	72	0.2637	51	18	0.3529	1.3382	23	9	0.3913	1.4837	1	residue with >=1 contact at 4.0 A	the deposited nucleic acid differs between entries (msr RNA, msDNA, duplex); this is a location measurement, not a specificity measurement
