sequence_id	membership_class	population	exact_sequence_present	best_hit_target	best_hit_identity	best_hit_query_coverage	best_hit_target_coverage	best_hit_evalue	leakage_class	population_role	unit	denominator
PDB_8OZ7_1	ANCHOR	align000044	NO	NO_HIT					DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_7R06_1	ANCHOR	align000044	NO	NO_HIT					DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_7R08_1	ANCHOR	align000044	NO	E.c.-0157	0.2870	0.1480	0.1520	3.33e-04	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_7KFT_2	ANCHOR	align000044	NO	B.h.	0.2890	0.2700	0.6510	3.49e-29	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
UNIPROT_F2K1V9	ANCHOR	align000044	NO	P.a.	0.3430	0.2330	0.4530	1.05e-35	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_8UB7_1	ANCHOR	align000044	NO	S.p.	0.2510	0.7900	0.6420	1.16e-18	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_6AR1_1	ANCHOR	align000044	NO	B.h.	0.5700	0.9630	0.9860	2.98e-158	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9D4S_1	ANCHOR	align000044	NO	P.p.	0.2430	0.7520	0.5880	3.58e-20	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_6ME0_3	ANCHOR	align000044	NO	E.c.-0157	0.5590	0.9400	0.9430	3.88e-194	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_5G2X_3	ANCHOR	align000044	YES	L.l.	1.0000	1.0000	1.0000	0.00e+00	EXACT_DUPLICATE	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_5HHL_1	ANCHOR	align000044	NO	S.p.	0.6040	0.9860	0.6730	1.54e-113	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_5HHJ_1	ANCHOR	align000044	NO	S.p.	0.6140	0.9440	0.6730	9.38e-116	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_7V9U_1	ANCHOR	align000044	NO	B.h.	0.2410	0.6750	0.5810	5.09e-13	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9I2F_2	ANCHOR	align000044	NO	B.h.	0.3040	0.2650	0.3850	2.62e-13	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9E8Z_3	ANCHOR	align000044	NO	B.h.	0.2310	0.6120	0.4570	3.18e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9N69_2	ANCHOR	align000044	NO	S.p.	0.2560	0.6210	0.4610	2.64e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9L7P_2	ANCHOR	align000044	NO	P.p.	0.2320	0.7400	0.5010	5.95e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_23OR_1	ANCHOR	align000044	NO	S.p.cox2I1	0.2990	0.2830	0.1220	1.87e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t816	ANCHOR	align000044	NO	B.h.	0.2610	0.5390	0.4670	4.16e-13	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1520	ANCHOR	align000044	NO	O.s.petDI1	0.2390	0.4700	0.3380	3.03e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t443	ANCHOR	align000044	NO	P.p.LSUI2	0.2440	0.5510	0.3640	6.24e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1450	ANCHOR	align000044	NO	S.p.	0.2710	0.5390	0.4750	9.61e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t482	ANCHOR	align000044	NO	P.p.	0.2200	0.6670	0.4520	8.62e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1429	ANCHOR	align000044	NO	E.c.B	0.2750	0.5360	0.4760	3.13e-11	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t430	ANCHOR	align000044	NO	P.p.	0.2540	0.4660	0.3620	4.81e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1453	ANCHOR	align000044	NO	S.p.	0.2730	0.5290	0.4660	5.91e-11	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t815	ANCHOR	align000044	NO	X.f.	0.2450	0.5940	0.5150	1.63e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1143	ANCHOR	align000044	NO	P.a.	0.2900	0.2680	0.3220	6.37e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t808	ANCHOR	align000044	NO	S.p.cox2I1	0.2610	0.7710	0.3490	5.37e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1100	ANCHOR	align000044	NO	O.s.petDI1	0.2530	0.4350	0.4410	5.28e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t400	ANCHOR	align000044	NO	S.p.	0.2480	0.6780	0.6000	4.70e-13	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1195	ANCHOR	align000044	NO	B.h.	0.2590	0.4050	0.4860	3.04e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1190	ANCHOR	align000044	NO	B.h.	0.2440	0.3880	0.5600	4.13e-16	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
