id	kind	subject	statement	evidence	status	consequence_for_interpretation
X01	SOURCE_CONTRADICTION	Retron-Eco8 fingers/palm/thumb	Two 2026 structure papers on the same protein, in the same 1-374 author numbering, give mutually incompatible subdomain boundaries. Xiong 2026: fingers 41-58, palm 1-40;59-266, thumb 267-374. Ji 2026: fingers 1-100;115-167, palm 101-114;168-269, thumb 270-374. Both place YADD at 198-201.	tables/C_literature_boundaries_retrieved.tsv (ECO8-XIO26-*, ECO8-JI26-*); tables/C_overlap.tsv	UNRESOLVED - both retrieved verbatim as FULL_TEXT; this project takes no side	The field has no single fingers/palm/thumb partition even for one protein. Any downstream use must name the reference it follows.
X02	SOURCE_CONTRADICTION	HIV-1 RT p66 subdomains	Secondary reviews disagree by 1-5 residues at every boundary (London 2016 fingers 1-84;119-154, palm 85-118;155-241, thumb 242-313 vs Singh and Das 2022 fingers 1-85;118-155, palm 86-117;156-236, thumb 237-318).	tables/C_reference_disagreement.tsv (1RTD_A rows)	UNRESOLVED - small, but it is the canonical case	Even the textbook example is not a single set of numbers. Boundary precision beyond a few residues is not available from the literature.
X03	INTERNAL_INCONSISTENCY	LtrA thumb (Qu 2016)	One paper carries two thumb definitions: 424-473 (initial homology model) and 391-474 (complete).	tables/C_literature_boundaries_retrieved.tsv (LTRA-QU16-THUMB-INIT, -FULL); tables/C_overlap.tsv	RECORDED - both joined and reported separately	A single source can supply two answers; the 3C overlap differs (Jaccard 0.265 vs 0.444).
X04	PRIOR_PRODUCT_DEFECT	historical reference_boundaries product	Fingers and thumb are residuals of a palm-centred partition in 25/25 rows; the 5HHJ anchor is hardcoded with no recorded source; the logs carry their own disagreement warnings and gate nothing; the 5G2X palm excludes its own catalytic aspartate; the same Ec86 protein receives boundaries differing by 77 residues across entries; the anchor entry is misfamilied as a retron.	LITERATURE_BOUNDARY_AUDIT.tsv rows HIST-*	CONFIRMED on the files by this stage	The product is not boundary truth and is reported only as its own stratum. A thumb Jaccard of 0 against it measures the residual construction, not biology.
X05	RETRIEVAL_CLAIM_NOT_REPRODUCED	author numbering of fusion/tagged chains	A literature-retrieval pass reported that 9WY8, 9HDO, 26CZ, 8BGJ carry negative author residue numbers for tag residues and that 9I2F chain A is 67 residues. Neither reproduces on the coordinate files this project uses.	LITERATURE_BOUNDARY_AUDIT.tsv NUMBERING-CHECK:negative-author-numbers; tables/chain_sequences.tsv	NOT_REPRODUCED - claim not adopted	Literature residue numbers are never assumed to map onto a chain; each source is verified per chain by a stated-motif check, and unverified sources are not joined (6 statements excluded on this ground).
X06	ATTRIBUTION_CONFLICT	origin of the labels Region X and Region Y	Simon and Zimmerly 2008 attribute the X/Y labels to Lampson, Inouye and Inouye 2005; Wang 2022 attributes them to Inouye et al. 1999. Neither attributed source could be read in full text here (Karger and JBC returned 403).	XY_REGION_EVIDENCE.tsv (XY-01, S-01); tables/D_sources.tsv	OPEN - the naming provenance is not settled	The regions are used here as operational objects with a motif-relative definition, never as historically defined intervals.
X07	CONFLATION	"the VTG triplet directs the RT to its cognate msr"	The VTG triplet sits at the active site (Ec86 243-245, adjacent to YADD 195-198), whereas the msr-recognition contacts reported in the same structure are thumb residues R238, Q240, S249, R257, K261, R264, H268, R298, Y302. The common phrasing fuses a catalytic-proximal motif with a separate RNA-binding surface.	XY_REGION_EVIDENCE.tsv (S-01, S-02, S-03)	RECORDED	Region Y as a ~90 aa C-terminal element and the VTG motif are different objects. A Region-Y specificity hypothesis must be stated about the surface, not the triplet.
X08	MOTIF_NOT_UNIVERSAL	VTG in retron RTs	All six Retron-Eco8 chains carry no VTG-like triplet in the declared SB7 window, so no operational Region Y is defined for them; they nonetheless contact RNA (34-40 contacting residues per chain).	XY_REGION_ANNOTATIONS.tsv; tables/D_summary.tsv	MEASURED	The "characteristic VTG" is not universal across experimentally determined retron RTs. A motif absence is not a region absence.
X09	MOTIF_NOT_EXCLUSIVE	VTG outside retrons	A VTG triplet in the SB7 window is also found in non-retron chains (three group II intron maturase chains and one UG8 chain).	XY_REGION_ANNOTATIONS.tsv; tables/D_summary.tsv	MEASURED	The motif alone does not identify a retron-specific region in this population.
X10	RULE_LIMITATION	operational Region Y in fused chains	The declared VTG-to-C-terminus rule yields 322-327 residues in the three Ec67 chains and 170-344 in four non-retron chains, against the literature's "~90 aa".	tables/D_region_y_length_vs_literature.tsv	MEASURED	Where a C-terminal accessory or fused domain exists, the operational Y interval swallows it. Region Y and "the C-terminal region" are not interchangeable.
