set_a	set_b	relation	measure	value	denominator	what_it_means	unit
ALIGN44_66	ALIGN44_66	self	unique amino-acid sequences	65	66 records	NEW FINDING, not in any landed table: g2's substrate is 66 RECORDS but 65 UNIQUE sequences. O.s.petDI1 (Oocystacea sp. petD intron 1, S05341) and S.o.petDI1 (Scenedesmus obliquus petD intron 1, P19593) are byte-identical over 610 aa under two names. Both sit in the algal_chloroplast group, so that group is 11 records / 10 unique.	exact amino-acid sequence
ALIGN44_66	all167	exact sequence overlap	shared unique sequences	1	65 unique in ALIGN44	the single shared sequence is PDB_5G2X_3 = LtrA, already identified in the pre-g4 provenance bundle	exact amino-acid sequence
ALIGN44_66	anchors72	exact sequence overlap	shared unique sequences	1	65 unique in ALIGN44	the same LtrA	exact amino-acid sequence
ALIGN44_66	GOLD171	exact sequence overlap	shared unique sequences	0	65 unique in ALIGN44	the historical substrate and the retron literature panel are disjoint by exact sequence	exact amino-acid sequence
ALIGN44_66	myRT_seeds_1988	exact sequence overlap	shared unique sequences	0	65 unique in ALIGN44	zero BY CONSTRUCTION - myRT seeds are domain fragments, not full-length proteins, so exact whole-sequence overlap cannot occur and is not evidence of independence	exact amino-acid sequence
ALIGN44_66	myRT_seeds_1988	containment	myRT seeds that are exact substrings of an ALIGN44 protein	11	1988 myRT seeds	the honest measure. All 11 belong to RVT-GII-I (6) and RVT-GII-II (5), drawn from 10 of the 66 historical proteins. myRT's group II intron families genuinely share material with the historical substrate; no other myRT family does	myRT seed fragment
ALIGN44_66	myRT_collection_2339	exact sequence overlap	shared unique sequences	10	65 unique in ALIGN44	10 of the 66 historical proteins are literally present, full length, in myRT's RTs-collection.faa	exact amino-acid sequence
all167	myRT_seeds_1988	containment	myRT seeds that are exact substrings of an all167 member	17	1988 myRT seeds	0.86 percent. Families: RVT-Retrons 4, RVT-GII-II 3, RVT-UG20 2, and one each of AbiA, UG8, UG1, AbiK, UG7, CRISPR-G2, DGRs. myRT is substantially independent of the old project seed	myRT seed fragment
anchors72	myRT_seeds_1988	containment	myRT seeds that are exact substrings of an anchors72 member	12	1988 myRT seeds	0.60 percent	myRT seed fragment
GOLD171	myRT_seeds_1988	containment	myRT seeds that are exact substrings of a GOLD171 member	13	1988 myRT seeds	0.65 percent, ALL of them RVT-Retrons. The contact between myRT and the retron literature panel is confined to the retron family, as expected, and is small	myRT seed fragment
all167	GOLD171	exact sequence overlap	shared unique sequences	44	171 in GOLD171	reproduces the landed 44/171 exactly, confirming the file identifications used in this inventory	exact amino-acid sequence
all167	anchors72	exact sequence overlap	shared unique sequences	72	72 in anchors72	anchors72 is inside all167 by construction	exact amino-acid sequence
anchors72	GOLD171	exact sequence overlap	shared unique sequences	44	171 in GOLD171	GOLD171's entire seed overlap enters through the anchor set	exact amino-acid sequence
myRT_seeds_1988	myRT_collection_2339	containment	seeds that are exact substrings of a collection member	1835	1988 myRT seeds	92.3 percent, confirming buildRVT.sh's documented excision procedure. The 153 that do not match are attributable to collection version drift and are recorded, not repaired	myRT seed fragment
myRT_seeds_1988	myRT_seeds_1988	self	cross-family duplicate sequences among the 45 canonical families	0	1986 unique seeds	myRT's family partition is clean: no amino-acid sequence is assigned to two families	exact amino-acid sequence
myRT_seeds_1988	myRT_seeds_1988	self	within-family duplicates	2	1988 records	both in RVT-G2L	exact amino-acid sequence
myRT_RVT_ref_1844	myRT_seeds_1988	exact sequence overlap	shared unique sequences	1828	1844 in RVT-ref.fst	the phylogenetic reference package is 99.1 percent a subset of the family seed set, not an independent collection	exact amino-acid sequence
myRT_window	LtrA	coordinate containment	myRT RVT_1 excision window on LtrA	LtrA 90-360	599 aa ungapped	MEASURED from the seed header L.l.I1|ML|IIA1|Lactococcus_90_360_GII-II. The window begins at residue 90	residue coordinate
myRT_window	Blocker_RT0_zone	coordinate relation	does the myRT window contain Blocker's RT0 zone (LtrA M1-R85)	NO	n/a	the window starts 5 residues after the RT0 zone ends. myRT seeds CANNOT address RT0 under any method, because the region was excised before the seeds existed	residue coordinate
myRT_window	g2_region_1	coordinate relation	does the myRT window contain g2 region 1 (LtrA 39-61)	NO	n/a	entirely outside	residue coordinate
myRT_window	g2_region_2	coordinate relation	does the myRT window contain g2 region 2 (LtrA 79-123)	PARTIAL	n/a	LtrA 90-123 inside, 79-89 outside	residue coordinate
myRT_window	g2_regions_3_to_6	coordinate relation	does the myRT window contain g2 regions 3-6 (LtrA 126-361)	YES	n/a	fully contained, including the catalytic dyad at LtrA 306	residue coordinate
myRT_window	prior_project_frame	coordinate relation	prior RT0-RT7 frame span on LtrA	LtrA 53-361	n/a	CONVERGENCE, reported as an observation not a validation: the Pfam RVT_1 window (90-360), Blocker's RT1-RT7 span (86-364) and the prior project frame (53-361) describe approximately the same core, and all three exclude the RT0 landmark at LtrA 39	residue coordinate
myRT_family_labels	Stage1_family_labels	provenance	are Stage-1 family labels derived from this same classification system	YES	42 Stage-1 family labels	binding consequence: myRT family labels may NOT serve as independent validation of Stage-1 family assignment, because they are the same instrument. They may serve as derivation and diversity material	family label
myRT_family_vocabulary	RTs_collection_vocabulary	consistency	do the two myRT objects use the same family labels	NO	45 vs 40 labels	the seeds use RVT-GII-I and RVT-GII-II where the collection uses GII; the collection adds NotUsed (136 sequences) and UNC (1); RVT-CRISPR-like has a seed FASTA and HMM but is absent from RVT-All.hmm; RVT-G2L, RVT-G2Lb and RVT-G2Lc are in RVT-All.hmm but absent from List	family label
