dataset_id	biological_purpose	row_unit	population_definition	source_files	derivation_dedup_rule	n_rows	hash_or_manifest	required_columns	known_limitations	exposure_state	appropriate_for	inappropriate_for	status
RT-EXACT-501561	The exact-RT universe: every distinct RT protein sequence the mining corpus yields. The denominator for goals 1,2,3,4	exact RT protein sequence (distinct sequence, NOT a genome, locus or organism)	All 501,561 distinct RT amino-acid sequences from RT-ANCHORED records. ncRNA-anchor-only records are EXCLUDED per docs/decisions/2026-09-15_stage1_population_rules.md	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_exact_v1.faa; rt_exact_v1.parquet	Exact sequence dedup of RT-anchored raw records by rt_seq_hash. 3,059,700 raw records collapse to 501,561 distinct sequences	501561	sha256 bcde6e9a64de90e6e791256f79c87799a00a95f0d1730f3460301220379e2655 (faa, 230,435,383 B) VERIFIED 2026-09-20 against T-C1b run_log input_sha256; parquet 44fd615e73f97134eb20e9c5d2e142ca4eff733e919746cc622ecd2cf05f7b9f	rt_id / rt_seq_hash (join key everywhere)	A sequence is NOT an organism and NOT a locus - the same sequence recurs across many genomes, so counts here are sequence counts and carry no abundance meaning. Taxonomic and ecological questions need the record or locus unit instead	INSPECTED_FOR_THIS_ENDPOINT for rt_profile_detection (T-C1,T-C1b), rt_motif_detection (T-F1), rt_identity_clustering (T-P1 VOID). NOT_YET_EXPOSED for every other endpoint	Profile/motif/domain scans; clustering; asset construction; any preregistered confirmatory endpoint NOT in the three exposed families	Untouched confirmatory evidence for profile-detection, motif or clustering endpoints; any abundance, prevalence or carriage claim	CANONICAL
FRAME-RVT-PF00078	The registered RVT profile. Defines what 'carries an RT domain' operationally means in this project	profile HMM (one model)	Pfam PF00078.32 RVT_1, HMMER3/f 3.3, model length 205, NSEQ 69, built 2024-01-12	/home/borg/RESEARCH-retron-db/data/derived/frame_rvt_v1.hmm	Unmodified Pfam release model. NOT re-estimated by this project	1	sha256 682ce4a1b81fc9fcfd123ba4ce3f335b8c9a23612380d23028507578c60806fd (95 KB) VERIFIED 2026-09-20 by direct sha256sum AND against T-C1b run_log	NAME RVT_1; ACC PF00078.32; LENG 205; GA 29.6 29.6; TC 29.6 29.6; NC 29.5 29.5	PF00078 is a GENERIC reverse-transcriptase domain shared by group II introns, DGRs, CRISPR-associated RTs, retrons and more. It is NOT retron-specific and NOT an RT-core definition. The model carries a curated GA of 29.6 which T-C1b did NOT use as its cutoff - see C1B-ENVELOPES-501561	n/a - instrument, not a population	Domain detection and envelope location; method calibration	Defining a valid RT; defining an RT core; distinguishing retrons from other RT families	CANONICAL
C1B-ENVELOPES-501561	Where the PF00078 profile aligns on every exact RT, with non-hits retained. The repaired replacement for the rejected T-C1	exact RT sequence (one row per input sequence, guaranteed)	Identical to RT-EXACT-501561: all 501,561 sequences, each carrying HIT or NO_HIT	analysis/t_c1b_envelope_census/tables/C1b_envelopes.tsv (in worktree …-T-C1b-pf00078-envelope-census, branch task/T-C1b-pf00078-envelope-census)	hmmsearch --domE 1e-5 with FRAME-RVT-PF00078 against RT-EXACT-501561. Best-scoring domain per sequence gives env_from/env_to/envelope_seq. No sequence dropped	501561	prerun freeze commit c77adb96f3bacd4c9d3acecbcd142f2a0b225897; input sha256 recorded in logs/run_log.json; NOT yet hashed as an output - required before consumption	rt_id; seq_len; hit_state; env_from; env_to; envelope_len; dom_evalue; score; rt_family; elig_exact_rt; envelope_seq	HIT means: the PF00078.32 model produced at least one domain at domain E-value <= 1e-5. NO_HIT means: no domain reached that threshold - it does NOT mean the sequence is not an RT. The cutoff is an E-value, NOT the model's curated GA bitscore of 29.6 (every accepted domain did score >= 30.0, but that is an observation, not the gate). envelope_seq is the PROFILE ENVELOPE, never a core. The 0.865875 headline hides a range of 0.4279 (RVT-UG5) to 0.9648 (RVT-CRISPR) across 613 families, so any pooled use of it is a mistake. No-hit median length 195 aa vs hit 402 aa: length and detection are confounded	Spends RT-EXACT-501561 x rt_profile_detection (already inspected; no further spend)	Per-family detection-rate description; envelope coordinates for downstream feature work; QC of the catalogue; method development	As an RT-CORE asset; as a definition of a valid RT; as a sensitivity or recovery rate; pooled across families without the per-family table	CANONICAL_WITH_LIMITATION
RT-FAMILY-LABELS-613	RT family assignment per exact RT. The stratifier for every family-resolved analysis in goals 1,2,4,6	exact RT sequence	All 501,561 exact RTs with a family label; 613 distinct family values incl. MULTI	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_family_baseline_v1.parquet	Stage-1 dbchar_g4 family baseline, joined on rt_seq_hash	501561	sha256 92e0197959174945eaad9b32… (19,012,020 B) TRUNCATED in DATASET_REGISTRY - full hash not recorded	rt_seq_hash; rt_family	MULTI is its own multi-label population and is NEVER appended to a single family (CLAUDE.md). Family sizes are extremely unequal: RVT-GII 256,623 vs RVT-UG5 6,439, so any unweighted across-family statistic is dominated by two families. Labels are TOOL-DERIVED, not phylogenetic	Inherits RT-EXACT-501561 exposure	Stratification; per-family denominators; describing heterogeneity	Treating a family label as a clade or lineage; pooling MULTI into a single family	CANONICAL_WITH_LIMITATION
RETRON-EXACT-78287	The retron subset of the exact-RT universe. The project's primary biological target for goals 2,4,6,8,9	exact RT protein sequence	Exact RTs whose RT-FAMILY-LABELS-613 value is Retron	derived by filtering RT-FAMILY-LABELS-613; materialised in C1b_by_family.tsv	rt_family == 'Retron' on the 501,561 universe	78287	no standalone artifact and no hash - it is a filter, not a file. COUNT verified 2026-09-20 from C1b_by_family.tsv	rt_seq_hash; rt_family	78,287 is 15.6% of the catalogue. Its PF00078 detection rate is 0.861918 (10,810 NO_HIT), close to the global 0.865875, so retrons are NOT unusually well or poorly detected. 'Retron' here is a TOOL LABEL from the mining pipeline, not an independently validated assignment	Inherits RT-EXACT-501561 exposure	Restricting any analysis to retrons; per-family contrast against other RT families	Treating the label as validated retron identity without an independent check	CANONICAL_WITH_LIMITATION
PAIR-ELIG-30924	The exact RT-ncRNA pair population. The substrate of ALL embedding and pairing work, goals 10,11,12	exact RT-ncRNA pair; the CONNECTED COMPONENT is the inference unit	30,924 exact pairs falling into 1,075 connected components	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_ncrna_exact_pairs_v1.parquet	Exact-pair dedup from rt_ncrna_pairs_v1 (346,722 rows)	30924	no hash recorded in DATASET_REGISTRY; 1,818,126 B; ROW COUNT verified 2026-09-20 by parquet metadata	pair key; rt_seq_hash; ncrna key; component id	EXHAUSTED PERMANENTLY. embed_x2 cross-fitting used ALL FIVE folds and the embed_g2b 'test' fold was in training for at least three. The bundle's claim that g2b and X1 are untouched is true of the FILES, not of the data's holdout status. The PAIR is not the inference unit - the COMPONENT is (1,075), and effective n settles around 463	EXHAUSTED for every pairing/counterfactual endpoint, permanently	Exploratory and descriptive work only, forever	ANY confirmatory pairing claim. A prospective population must be declared before any new pairing inference	EXPLORATORY_ONLY
NCRNA-16458	The oriented exact-ncRNA catalogue. Substrate for goals 8,9,10	exact ncRNA sequence	16,458 oriented distinct ncRNA sequences	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_ncrna_oriented_v1.fna (+ .parquet, .MANIFEST.tsv, .provenance.json)	Orientation applied to exact ncRNA sequences; carries its own MANIFEST and provenance sidecars	16458	rt_ncrna_oriented_v1.MANIFEST.tsv + .provenance.json present alongside; files are read-only (mode 444). COUNT verified 2026-09-20 (grep -c '>' = 16,458; parquet rows = 16,458)	ncrna id; sequence; orientation	99.35% already folded and 95.83% already a1/a2-called IN A PRIOR PROJECT - those are ASSETS, not this project's conclusions, and their numbers are UNVERIFIED until re-derived. Every ncRNA here descends from CM-CALLS-21, so the catalogue cannot adjudicate the models that defined it	INSPECTED (Stage 1 + prior-project folding/calls). Endpoint-level exposure not yet itemised	ncRNA architecture description; RT-DNA anchor mapping; asset reuse after re-derivation	Scoring any ncRNA boundary or type claim against CM-derived calls; treating prior folding numbers as this project's results	CANONICAL_WITH_LIMITATION
CM-CALLS-21	The 21 Mestre-authored covariance models and every ncRNA call descending from them	detection model	21 covariance models	registered in CIRCULARITY_AND_LEAKAGE.md section 1	external, authored upstream	21	not hashed in this project	model id	THIS IS THE INSTRUMENT THAT DEFINES THE ncRNA POPULATION. Any boundary or type claim scored against these calls is same-paradigm and adjudicates nothing. T-A19 as specified does exactly this	DEFINES THE POPULATION - cannot be a test set	Detection; inventory (T-C2)	ANY use as a test set, truth set or evaluation target for ncRNA calling	VOID_DO_NOT_CONSUME
RT-RECORDS-3059700	The raw mining record table. Parent of every other unit	raw source record (NOT an independent locus and NOT an organism)	3,059,700 raw records; 3,028,196 carry an RT anchor	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_records_v1.parquet	Direct parse of the mining corpus; family label and frozen eligibility flags attached	3059700	sha256 546605034a2e5f21794a842db17849dfa7018689aea3a1bf43ee63b0837dfb6f (701,984,868 B) VERIFIED 2026-09-20 against T-C1b run_log	record id; rt_seq_hash; rt_family; locus_key; physical_locus_key; elig_exact_rt	ROWS ARE NOT INDEPENDENT. Many records derive from the same contig and the same genome; coordinates are CONTIG-GLOBAL. T-N1 declared these rows as RETRON-LOCI and that was wrong. locus_key and physical_locus_key exist precisely so a consumer can collapse them	INSPECTED_FOR_THIS_ENDPOINT for neighbourhood_geometry (T-N1, T-N1b, T-N1c) under the id RT-RECORDS-ALL-FAMILIES	Any analysis that names the raw record as its unit and says so	Treating rows as independent loci; any per-genome or per-organism rate	CANONICAL_WITH_LIMITATION
RT-WINDOW-CDS	CDS neighbours in the genomic window around each RT anchor. Substrate for goal 6	CDS in window	44,310,231 CDS rows across the anchored records	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_window_cds_v1.parquet	Stage-1 dbchar_g2 window extraction	44310231	no sha256 recorded in DATASET_REGISTRY (593,211,401 B). HASH REQUIRED before T-N1d consumes it	record id; cds_start; cds_end; strand; is_rt_gene	Coordinates are CONTIG-GLOBAL (median cds_start 39,219; max 15,288,634), which is what made T-N1b's cross-record permutation null ill-posed. 224,479 of 224,483 zero-neighbour records are CONTIG-EDGE CLIPPED, not genomically isolated. A same-length decoy placed anywhere in a record's own window hits the RT CDS 28.5% of the time: these windows are TIGHT relative to RT CDS length	INSPECTED_FOR_THIS_ENDPOINT for neighbourhood_geometry	Neighbourhood geometry description with edge state retained	Retron detection by neighbourhood (settled negative: retrons 27th of 41 families inside a predeclared dead band); any claim of genomic isolation from zero-neighbour rows	NEEDS_REDERIVATION
